ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes",Brands
1269,simple,,,"SOFT RING LIGHT MJ-33 RGB LED",1,0,visible,,"Anneau lumineux LED RGB MJ-33 pour un éclairage parfait lors de vos prises de photos et vidéos.  Idéal pour les influenceurs, les streamers ou simplement pour un usage personnel.  Contrôlez la couleur et l'intensité de la lumière pour un rendu professionnel.  Facile à utiliser et à installer, il est compatible avec la plupart des smartphones et caméras.  Créez des ambiances lumineuses uniques avec ses multiples options de couleurs.",,,taxable,,1,,,0,0,,,,,1,,,119,"Accessoires informatiques","Accessoires Tech, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/LMzbnBBSyvWCjQAZ.jpg,,,,,,,,,0,,
1270,simple,,,"CABLE INKAX CB-03 IP",1,0,visible,,"Câble INKAX CB-03 avec connecteur IP pour une recharge rapide et un transfert de données efficace.  Conçu avec des matériaux de haute qualité pour une durabilité accrue.  Compatible avec les appareils Apple dotés d'un port Lightning.  Sa longueur idéale offre une grande liberté de mouvement lors de l'utilisation.  Un accessoire indispensable pour rester connecté et chargé.",,,taxable,,1,,,0,0,,,,,1,,,10,"Accessoires informatiques",,,https://sml.boutique/wp-content/uploads/2025/12/KffodMcwVFQIQesp.png,,,,,,,,,0,,
1271,simple,,,"CABLE INKAX CB-03 TYPE C",1,0,visible,,"Câble INKAX CB-03 avec connecteur Type-C pour une recharge rapide et un transfert de données performant.  Matériaux robustes pour une résistance accrue à l'usure et aux manipulations fréquentes.  Compatible avec les appareils Android et autres périphériques dotés d'un port USB Type-C.  Sa longueur pratique assure une utilisation confortable au quotidien.  Un choix parfait pour ceux qui recherchent fiabilité et efficacité.",,,taxable,,1,,,0,0,,,,,1,,,10,"Accessoires informatiques","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/mKzjsoJMfBkFgRKA.jpg,,,,,,,,,0,,
1272,simple,,,"CABLE INKAX CB-03 MICRO",1,0,visible,,"Câble INKAX CB-03 avec connecteur Micro USB, idéal pour la recharge et le transfert de données.  Construction solide pour une durée de vie prolongée.  Compatible avec une variété d'appareils Android et autres périphériques dotés d'un port Micro USB.  Une longueur pratique pour faciliter l'utilisation au quotidien.  Un accessoire de base pour tous vos appareils.",,,taxable,,1,,,0,0,,,,,1,,,10,"Accessoires informatiques","Câble, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/BaUfHvriziqqluup.jpg,,,,,,,,,0,,
1273,simple,,,"R-3 STEREO EARPHONE",1,0,visible,,"Écouteurs stéréo R-3 pour une expérience audio immersive et de qualité.  Design ergonomique pour un confort optimal même lors d'une utilisation prolongée.  Son clair et équilibré pour profiter pleinement de votre musique et de vos appels.  Dotés d'un micro intégré pour passer des appels en toute simplicité.  Un choix idéal pour une écoute quotidienne.",,,taxable,,1,,,0,0,,,,,1,,,12,"Audio et multimédia","Audio, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/isAWKkDijreBayCb.webp,,,,,,,,,0,,
1274,simple,,,"ECOUTEURS BLUETOOTH INKAX TWS-01S",1,0,visible,,"Écouteurs Bluetooth INKAX TWS-01S, véritablement sans fil, pour une liberté de mouvement totale. Son de haute qualité pour une expérience audio immersive. Boîtier de charge inclus pour une autonomie prolongée. Design élégant et confortable pour une utilisation quotidienne. Parfait pour écouter de la musique, prendre des appels ou faire du sport.",,,taxable,,1,,,0,0,,,,,1,,,45,"Audio et multimédia","Audio, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/3891-produits-2023-7-6-16886267334700.webp,,,,,,,,,0,,
1275,simple,,,"ECOUTEURS BLUETOOTH INKAX TWS-22",1,0,visible,,"Écouteurs Bluetooth INKAX TWS-22 pour une expérience sonore sans contraintes. Technologie sans fil avancée pour une connexion stable et une qualité audio supérieure. Design intra-auriculaire confortable et sécurisé. Boîtier de charge compact pour une autonomie accrue. Idéal pour les déplacements, le sport et la vie quotidienne.",,,taxable,,1,,,0,0,,,,,1,,,49,"Audio et multimédia","Audio, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/ecouteurs-sans-fil-inkax-tws-22-blanc.jpg,,,,,,,,,0,,
1276,simple,,,*,1,0,visible,,"Écouteurs Bluetooth INKAX TWS-20, des compagnons audio discrets et performants.  Son clair et puissant pour une expérience d'écoute immersive.  Boîtier de charge pratique pour une autonomie prolongée.  Design élégant et confortable, adapté à toutes les morphologies.  Parfait pour une utilisation quotidienne et pour les activités sportives.",,,taxable,,1,,,0,0,,,,,1,,,48,"Audio et multimédia",,,https://sml.boutique/wp-content/uploads/2025/12/LvZcLuEEqvKdHuBH.png,,,,,,,,,0,,
1277,simple,,,"ECOUTEURS BLUETOOTH INKAX TWS-03",1,0,visible,,"Écouteurs Bluetooth INKAX TWS-03, des écouteurs sans fil économiques et fonctionnels.  Conception légère et ergonomique pour un confort optimal.  Qualité sonore satisfaisante pour les appels et la musique.  Boîtier de charge compact pour un rangement et une recharge faciles.  Idéal pour un usage quotidien et pour les petits budgets.",,,taxable,,1,,,0,0,,,,,1,,,55,"Audio et multimédia","Audio, Connectivité, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/iurNOqZIUMgdvwOp.webp,,,,,,,,,0,,
1278,simple,,,"ECOUTEURS BLUETOOTH INKAX TWS-08",1,0,visible,,"Écouteurs Bluetooth INKAX TWS-08, des écouteurs sans fil avec une bonne qualité sonore.  Design confortable pour une utilisation prolongée.  Faciles à connecter à votre appareil grâce à la technologie Bluetooth.  Boîtier de charge inclus pour une autonomie de batterie étendue.  Un bon choix pour ceux qui cherchent des écouteurs sans fil pratiques.",,,taxable,,1,,,0,0,,,,,1,,,49,"Audio et multimédia","Audio, Électronique, Gadgets",,https://sml.boutique/wp-content/uploads/2025/12/ItUkrBbtWtRHmPlC.png,,,,,,,,,0,,
1279,simple,,,"ECOUTEURS BLUETOOTH INKAX TW01 PRO",1,0,visible,,"Écouteurs Bluetooth INKAX TW01 PRO, des écouteurs sans fil haut de gamme.  Son haute fidélité pour une expérience audio exceptionnelle.  Réduction du bruit ambiant pour une écoute immersive.  Boîtier de charge élégant et performant.  Parfait pour les audiophiles et les professionnels en déplacement.",,,taxable,,1,,,0,0,,,,,1,,,39,"Audio et multimédia","Audio, Électronique",,https://sml.boutique/wp-content/uploads/2025/12/cukXiWwWJwhHGaSd.jpg,,,,,,,,,0,,
